state,x,y
Madhya Pradesh,-86,46
Chattisgarh,-8,5
Maharashtra,-137,-33
Kerala,-131,-246
Tamil Nadu,-89,-232
Karnataka,-145,-148
Andra Pradesh,-79,-142
Teleangana,-74,-78
Odisha,49,-19
Jharkhand,65,46
West Bengal,123,36
Bihar,71,95
Uttar Pradesh,-20,123
Rajasthan,-169,122
Gujarat,-206,46
Harayana,-112,182
Punjab,-125,220
Himachal Pradesh,-89,237
Uttarakhand,-53,198
Jammu Kashmir,-131,281
Ladakh,-90,301
Sikkim,-135,141
Arunachal Pradesh,249,154
Assam,204,119
Meghalaya,200,96
Tripura,201,52
Mizoram,232,41
Manipur,251,75
Nagaland,268,107
Anadam and Nicobar Islands,244,-197
Delhi,-96,168
Puducherry,-45,-181
